,object,animal,datetime
481,outerIR,-,2025-04-04 12:05:26.578
482,innerIR,-,2025-04-04 12:05:26.849
483,innerIR,-,2025-04-04 12:06:58.448
484,outerIR,-,2025-04-04 12:06:58.565
485,rfid,lychee,2025-04-04 12:06:58.586
486,innerIR,-,2025-04-04 12:07:00.586
487,innerIR,-,2025-04-04 12:07:02.205
488,outerIR,-,2025-04-04 12:08:36.721
489,rfid,lychee,2025-04-04 12:08:37.350
490,innerIR,-,2025-04-04 12:08:37.406
491,rfid,lychee,2025-04-04 12:08:37.468
492,rfid,lychee,2025-04-04 12:08:37.590
493,rfid,lychee,2025-04-04 12:08:37.709
494,rfid,lychee,2025-04-04 12:08:37.827
495,innerIR,-,2025-04-04 12:08:42.432
496,innerIR,-,2025-04-04 12:08:44.952
497,innerIR,-,2025-04-04 12:08:54.418
498,innerIR,-,2025-04-04 12:08:55.629
499,rfid,lychee,2025-04-04 12:09:00.380
500,outerIR,-,2025-04-04 12:09:00.457
501,rfid,lychee,2025-04-04 12:09:00.606
502,outerIR,-,2025-04-04 12:09:04.778
503,outerIR,-,2025-04-04 12:09:33.823
504,innerIR,-,2025-04-04 12:09:34.147
505,rfid,lychee,2025-04-04 12:09:34.275
506,rfid,lychee,2025-04-04 12:09:34.393
507,outerIR,-,2025-04-04 12:09:34.863
508,session,-,2025-04-04 12:25:59.082
509,innerIR,-,2025-04-04 12:26:58.004
510,innerIR,-,2025-04-04 12:26:59.530
511,outerIR,-,2025-04-04 12:27:00.048
512,innerIR,-,2025-04-04 12:27:02.973
513,outerIR,-,2025-04-04 12:27:09.603
514,innerIR,-,2025-04-04 12:27:38.275
515,outerIR,-,2025-04-04 12:27:39.201
516,rfid,wolverine,2025-04-04 12:27:39.354
517,rfid,wolverine,2025-04-04 12:27:39.473
518,innerIR,-,2025-04-04 12:30:04.599
519,outerIR,-,2025-04-04 12:30:04.826
520,rfid,lemon,2025-04-04 12:30:04.902
521,innerIR,-,2025-04-04 12:33:16.902
522,rfid,lychee,2025-04-04 12:33:17.111
523,outerIR,-,2025-04-04 12:33:17.128
524,innerIR,-,2025-04-04 12:33:18.348
525,outerIR,-,2025-04-04 12:54:50.835
526,rfid,lychee,2025-04-04 12:54:51.693
527,rfid,lychee,2025-04-04 12:54:51.833
528,rfid,lychee,2025-04-04 12:54:51.971
529,rfid,lychee,2025-04-04 12:54:52.091
530,rfid,lychee,2025-04-04 12:54:52.219
531,rfid,lychee,2025-04-04 12:54:52.348
532,rfid,lychee,2025-04-04 12:54:52.476
533,rfid,lychee,2025-04-04 12:54:52.622
534,rfid,lychee,2025-04-04 12:54:52.745
535,rfid,lychee,2025-04-04 12:54:52.865
536,innerIR,-,2025-04-04 12:54:52.904
537,rfid,lychee,2025-04-04 12:54:52.993
538,rfid,lychee,2025-04-04 12:54:53.160
539,rfid,lychee,2025-04-04 12:54:53.321
540,rfid,lychee,2025-04-04 12:54:53.457
541,rfid,lychee,2025-04-04 12:54:55.306
542,rfid,lychee,2025-04-04 12:54:55.631
543,rfid,lychee,2025-04-04 12:54:55.752
544,rfid,lychee,2025-04-04 12:54:58.280
545,innerIR,-,2025-04-04 12:54:58.532
546,rfid,lychee,2025-04-04 12:54:58.806
547,rfid,lychee,2025-04-04 12:54:58.942
548,rfid,lychee,2025-04-04 12:54:59.159
549,rfid,lychee,2025-04-04 12:54:59.279
550,rfid,lychee,2025-04-04 12:54:59.612
551,rfid,lychee,2025-04-04 12:54:59.854
552,rfid,lychee,2025-04-04 12:55:00.008
553,rfid,lychee,2025-04-04 12:55:00.243
554,rfid,lychee,2025-04-04 12:55:00.385
555,rfid,lychee,2025-04-04 12:55:00.506
556,rfid,lychee,2025-04-04 12:55:00.858
557,rfid,lychee,2025-04-04 12:55:01.013
558,rfid,lychee,2025-04-04 12:55:01.460
559,rfid,lychee,2025-04-04 12:55:01.815
560,rfid,lychee,2025-04-04 12:55:02.163
561,rfid,lychee,2025-04-04 12:55:02.311
